"half","country_name","Year","Total_imp","Pref_Trade","Eligible_Trade","Total_volume","Pref_Volume","Eligible_Volume","uk_trade_agreement","uk_agreement_name","uk_dcts_tier","uk_dcts"
"2022 H1","Afghanistan",2022,1077646,855244,904323,445706,391544,413033,FALSE,NA,"Comprehensive",TRUE
"2022 H1","Albania",2022,1278366,599126,671768,1122772,428833,460869,TRUE,"UK-Albania Partnership, Trade and Cooperation Agreement",NA,FALSE
"2022 H1","Algeria",2022,2652385,0,1146791,8984602,0,678758,FALSE,NA,"Enhanced",TRUE
"2022 H1","Andorra",2022,51425,0,0,39292,0,0,FALSE,NA,NA,FALSE
"2022 H1","Angola",2022,11313,0,11313,457,0,457,FALSE,NA,"Comprehensive",TRUE
"2022 H1","Anguilla",2022,9820,0,0,2780,0,0,FALSE,NA,NA,FALSE
"2022 H1","Antigua & Barbuda",2022,56545,0,55145,10465,0,9465,TRUE,"CARIFORUM-UK Economic Partnership Agreement",NA,FALSE
"2022 H1","Argentina",2022,392735357,0,0,764923528,0,0,FALSE,NA,NA,FALSE
"2022 H1","Armenia",2022,115018,0,0,12535,0,0,FALSE,NA,NA,FALSE
"2022 H1","Australia",2022,316699677,0,0,247770482,0,0,TRUE,"UK-Australia Free Trade Agreement; CPTPP",NA,FALSE
"2022 H1","Azerbaijan",2022,73693,0,0,17650,0,0,FALSE,NA,NA,FALSE
"2022 H1","Bahamas",2022,1625473,1583706,1589814,44030,31917,31940,TRUE,"CARIFORUM-UK Economic Partnership Agreement",NA,FALSE
"2022 H1","Bahrain",2022,84077,0,0,13716,0,0,FALSE,NA,NA,FALSE
"2022 H1","Bangladesh",2022,46497637,42926740,43115712,11524185,10461363,10504374,FALSE,NA,"Comprehensive",TRUE
"2022 H1","Barbados",2022,1554746,780927,811217,490448,389673,391266,TRUE,"CARIFORUM-UK Economic Partnership Agreement",NA,FALSE
"2022 H1","Belarus",2022,1992344,0,0,9049495,0,0,FALSE,NA,NA,FALSE
"2022 H1","Belize",2022,25401076,22272122,24832829,38475533,35873955,38383167,TRUE,"CARIFORUM-UK Economic Partnership Agreement",NA,FALSE
"2022 H1","Benin",2022,645825,0,1531,259068,0,31000,FALSE,NA,"Comprehensive",TRUE
"2022 H1","Bermuda",2022,228812,0,211492,31141,0,23095,FALSE,NA,NA,FALSE
"2022 H1","Bolivia",2022,9260858,212242,341311,1635473,69747,120311,FALSE,NA,"Enhanced",TRUE
"2022 H1","Bosnia & Herzegovina",2022,864758,0,0,567137,0,0,FALSE,NA,NA,FALSE
"2022 H1","Botswana",2022,287778,287778,287778,85038,85038,85038,TRUE,"SACUM-UK Economic Partnership Agreement",NA,FALSE
"2022 H1","Brazil",2022,710741093,0,0,910220632,0,0,FALSE,NA,NA,FALSE
"2022 H1","British Virgin Islands",2022,297289,2533,2533,20083,326,326,FALSE,NA,NA,FALSE
"2022 H1","Burkina Faso",2022,2405572,84344,142926,540801,17271,40717,FALSE,NA,"Comprehensive",TRUE
"2022 H1","Burundi",2022,412294,0,0,93544,0,0,FALSE,NA,"Comprehensive",TRUE
"2022 H1","Cambodia",2022,6569448,6244477,6475396,8378902,8066577,8357764,FALSE,NA,"Comprehensive",TRUE
"2022 H1","Cameroon",2022,19196227,18869334,18918463,27281492,27001561,27064594,TRUE,"UK-Cameroon Economic Partnership Agreement",NA,FALSE
"2022 H1","Canada",2022,329649861,74815503,86355690,601580000,15861605,18154291,TRUE,"UK-Canada Trade Continuity Agreement; CPTPP",NA,FALSE
"2022 H1","Cayman Islands",2022,188468,181857,186186,112388,111648,111988,FALSE,NA,NA,FALSE
"2022 H1","Chad",2022,511620,0,0,552000,0,0,FALSE,NA,"Comprehensive",TRUE
"2022 H1","Chile",2022,263809184,229709368,247872876,132719539,116317440,122273569,TRUE,"UK-Chile Association Agreement; CPTPP",NA,FALSE
"2022 H1","China",2022,656662248,0,0,248643317,0,0,FALSE,NA,NA,FALSE
"2022 H1","Colombia",2022,184534533,126276289,134681917,167764766,154285188,156340698,TRUE,"UK-Andean Countries Trade Agreement",NA,FALSE
"2022 H1","Comoros",2022,92300,72968,92300,14031,11000,14031,FALSE,NA,"Comprehensive",TRUE
"2022 H1","Congo - Brazzaville",2022,4319,0,0,778,0,0,FALSE,NA,"Enhanced",TRUE
"2022 H1","Congo - Kinshasa",2022,107045,1883,1883,17599,778,778,FALSE,NA,"Comprehensive",TRUE
"2022 H1","Cook Islands",2022,13317,0,0,6336,0,0,FALSE,NA,"Enhanced",TRUE
"2022 H1","Costa Rica",2022,125369806,108149620,118489261,221787190,199967675,213120644,TRUE,"UK-Central America Association Agreement",NA,FALSE
"2022 H1","Cuba",2022,4734265,0,0,653479,0,0,FALSE,NA,NA,FALSE
"2022 H1","Curaçao",2022,1891,0,0,1032,0,0,FALSE,NA,NA,FALSE
"2022 H1","Côte d’Ivoire",2022,181045532,55803397,56739344,92416347,30702124,31036162,TRUE,"UK-Cote d'Ivoire Stepping Stone EPA",NA,FALSE
"2022 H1","Djibouti",2022,849513,0,0,352712,0,0,FALSE,NA,"Comprehensive",TRUE
"2022 H1","Dominica",2022,369447,30140,32802,360852,7829,8050,TRUE,"CARIFORUM-UK Economic Partnership Agreement",NA,FALSE
"2022 H1","Dominican Republic",2022,38001669,30192429,31569930,44710498,39759453,40462740,TRUE,"CARIFORUM-UK Economic Partnership Agreement",NA,FALSE
"2022 H1","Ecuador",2022,108074961,96215596,107091322,62893954,59604679,62723116,TRUE,"UK-Andean Countries Trade Agreement",NA,FALSE
"2022 H1","Egypt",2022,141395306,123132682,128682535,150869088,120884823,123653765,TRUE,"UK-Egypt Association Agreement",NA,FALSE
"2022 H1","El Salvador",2022,5527619,3050523,3057378,8509087,8047732,8049352,TRUE,"UK-Central America Association Agreement",NA,FALSE
"2022 H1","Eritrea",2022,73101,0,0,62519,0,0,FALSE,NA,"Comprehensive",TRUE
"2022 H1","Eswatini",2022,4264663,4019224,4091169,6473529,6173040,6211423,TRUE,"SACUM-UK Economic Partnership Agreement",NA,FALSE
"2022 H1","Ethiopia",2022,20649552,7244463,11630001,6102435,1960177,2632578,FALSE,NA,"Comprehensive",TRUE
"2022 H1","European Union",2022,18374980491,15580983596,15940860653,11119870454,8482715091,8624982766,TRUE,"UK-EU Trade and Cooperation Agreement",NA,FALSE
"2022 H1","Falkland Islands",2022,1568613,1345171,1410277,418021,359170,372782,FALSE,NA,NA,FALSE
"2022 H1","Faroe Islands",2022,166267140,135463823,162596813,36464039,18385662,33879618,TRUE,"UK-Faroe Islands Free Trade Agreement",NA,FALSE
"2022 H1","Fiji",2022,1591766,26090,33739,4138095,7789,8551,TRUE,"UK-Pacific Economic Partnership Agreement",NA,FALSE
