"Month","country_name","Year","Total_imp","Pref_Trade","Eligible_Trade","Total_volume","Pref_Volume","Eligible_Volume","uk_trade_agreement","uk_agreement_name","uk_dcts_tier","uk_dcts"
1,"Afghanistan",2022,312786,258137,293486,137454,120264,134078,FALSE,NA,"Comprehensive",TRUE
1,"Afghanistan",2023,124701,99209,110907,52661,48685,48686,FALSE,NA,"Comprehensive",TRUE
1,"Afghanistan",2024,359856,295733,321465,132803,119501,126907,FALSE,NA,"Comprehensive",TRUE
1,"Afghanistan",2025,215309,176985,178488,102872,88683,89683,FALSE,NA,"Comprehensive",TRUE
1,"Afghanistan",2026,614535,431002,499416,208092,156442,179097,FALSE,NA,"Comprehensive",TRUE
1,"Albania",2022,245443,95311,95311,195955,75060,75060,TRUE,"UK-Albania Partnership, Trade and Cooperation Agreement",NA,FALSE
1,"Albania",2023,247482,54959,62905,102429,32701,32951,TRUE,"UK-Albania Partnership, Trade and Cooperation Agreement",NA,FALSE
1,"Albania",2024,446061,208966,216401,337898,168694,169928,TRUE,"UK-Albania Partnership, Trade and Cooperation Agreement",NA,FALSE
1,"Albania",2025,309171,178728,201131,305663,127528,151257,TRUE,"UK-Albania Partnership, Trade and Cooperation Agreement",NA,FALSE
1,"Albania",2026,435234,385001,390704,426657,277932,278093,TRUE,"UK-Albania Partnership, Trade and Cooperation Agreement",NA,FALSE
1,"Algeria",2022,282158,0,276550,140671,0,135021,FALSE,NA,"Enhanced",TRUE
1,"Algeria",2023,205573,131873,192897,145124,94563,123011,FALSE,NA,"Enhanced",TRUE
1,"Algeria",2024,242720,124458,212373,246469,92769,119039,FALSE,NA,"Enhanced",TRUE
1,"Algeria",2025,297358,217687,287252,208329,171149,188727,FALSE,NA,"Enhanced",TRUE
1,"Algeria",2026,1084320,212107,303110,3237053,200160,237053,FALSE,NA,"Enhanced",TRUE
1,"American Samoa",2025,8171,0,0,13,0,0,FALSE,NA,NA,FALSE
1,"American Samoa",2026,2774,0,0,250,0,0,FALSE,NA,NA,FALSE
1,"Angola",2023,2930,0,2930,98,0,98,FALSE,NA,"Comprehensive",TRUE
1,"Angola",2025,9841,0,9841,351,0,351,FALSE,NA,"Comprehensive",TRUE
1,"Angola",2026,1564,0,1564,111,0,111,FALSE,NA,"Comprehensive",TRUE
1,"Antigua & Barbuda",2022,29924,0,29924,5147,0,5147,TRUE,"CARIFORUM-UK Economic Partnership Agreement",NA,FALSE
1,"Antigua & Barbuda",2026,35541,0,4815,51440,0,1440,TRUE,"CARIFORUM-UK Economic Partnership Agreement",NA,FALSE
1,"Argentina",2022,46272244,0,0,77639697,0,0,FALSE,NA,NA,FALSE
