"quarter","country_name","Year","Total_imp","Pref_Trade","Eligible_Trade","Total_volume","Pref_Volume","Eligible_Volume","uk_trade_agreement","uk_agreement_name","uk_dcts_tier","uk_dcts"
"2022 Q1","Afghanistan",2022,657109,538449,584214,289658,256320,277055,FALSE,NA,"Comprehensive",TRUE
"2022 Q1","Albania",2022,660423,306016,325015,592147,217981,218675,TRUE,"UK-Albania Partnership, Trade and Cooperation Agreement",NA,FALSE
"2022 Q1","Algeria",2022,1375891,0,739799,3317519,0,411675,FALSE,NA,"Enhanced",TRUE
"2022 Q1","Andorra",2022,47531,0,0,38822,0,0,FALSE,NA,NA,FALSE
"2022 Q1","Angola",2022,9998,0,9998,406,0,406,FALSE,NA,"Comprehensive",TRUE
"2022 Q1","Antigua & Barbuda",2022,31324,0,29924,6147,0,5147,TRUE,"CARIFORUM-UK Economic Partnership Agreement",NA,FALSE
"2022 Q1","Argentina",2022,158504001,0,0,331205934,0,0,FALSE,NA,NA,FALSE
"2022 Q1","Armenia",2022,57983,0,0,3466,0,0,FALSE,NA,NA,FALSE
"2022 Q1","Australia",2022,108451506,0,0,61925324,0,0,TRUE,"UK-Australia Free Trade Agreement; CPTPP",NA,FALSE
"2022 Q1","Azerbaijan",2022,37267,0,0,8775,0,0,FALSE,NA,NA,FALSE
"2022 Q1","Bahamas",2022,638223,620244,620244,19125,12721,12721,TRUE,"CARIFORUM-UK Economic Partnership Agreement",NA,FALSE
"2022 Q1","Bahrain",2022,934,0,0,109,0,0,FALSE,NA,NA,FALSE
"2022 Q1","Bangladesh",2022,21941176,21303861,21365349,5652749,5432127,5437835,FALSE,NA,"Comprehensive",TRUE
"2022 Q1","Barbados",2022,700021,98623,120545,116585,47569,48856,TRUE,"CARIFORUM-UK Economic Partnership Agreement",NA,FALSE
"2022 Q1","Belarus",2022,1990177,0,0,9045219,0,0,FALSE,NA,NA,FALSE
"2022 Q1","Belize",2022,9551598,8360883,9374735,14428616,13402212,14404182,TRUE,"CARIFORUM-UK Economic Partnership Agreement",NA,FALSE
"2022 Q1","Benin",2022,171204,0,1531,154309,0,31000,FALSE,NA,"Comprehensive",TRUE
"2022 Q1","Bermuda",2022,93826,0,92346,10498,0,10372,FALSE,NA,NA,FALSE
"2022 Q1","Bolivia",2022,3693850,71877,166350,674521,44800,85640,FALSE,NA,"Enhanced",TRUE
"2022 Q1","Bosnia & Herzegovina",2022,398312,0,0,303906,0,0,FALSE,NA,NA,FALSE
"2022 Q1","Brazil",2022,312364319,0,0,401235311,0,0,FALSE,NA,NA,FALSE
"2022 Q1","British Virgin Islands",2022,155531,2533,2533,8827,326,326,FALSE,NA,NA,FALSE
"2022 Q1","Burkina Faso",2022,553142,0,41234,90921,0,18225,FALSE,NA,"Comprehensive",TRUE
"2022 Q1","Burundi",2022,387836,0,0,90303,0,0,FALSE,NA,"Comprehensive",TRUE
"2022 Q1","Cambodia",2022,3530494,3324667,3499389,4672775,4443042,4662828,FALSE,NA,"Comprehensive",TRUE
"2022 Q1","Cameroon",2022,8235043,8168569,8196016,12126279,12033049,12054288,TRUE,"UK-Cameroon Economic Partnership Agreement",NA,FALSE
"2022 Q1","Canada",2022,131081925,42847163,47715851,209631011,8229606,9243228,TRUE,"UK-Canada Trade Continuity Agreement; CPTPP",NA,FALSE
"2022 Q1","Cayman Islands",2022,2282,0,0,400,0,0,FALSE,NA,NA,FALSE
"2022 Q1","Chile",2022,125101317,109535584,120762555,51825129,47057018,50309748,TRUE,"UK-Chile Association Agreement; CPTPP",NA,FALSE
"2022 Q1","China",2022,341817998,0,0,139601730,0,0,FALSE,NA,NA,FALSE
"2022 Q1","Colombia",2022,89931847,64082777,68581290,79256703,72711505,74060070,TRUE,"UK-Andean Countries Trade Agreement",NA,FALSE
"2022 Q1","Comoros",2022,92300,72968,92300,14031,11000,14031,FALSE,NA,"Comprehensive",TRUE
"2022 Q1","Congo - Brazzaville",2022,4319,0,0,778,0,0,FALSE,NA,"Enhanced",TRUE
"2022 Q1","Congo - Kinshasa",2022,107045,1883,1883,17599,778,778,FALSE,NA,"Comprehensive",TRUE
"2022 Q1","Cook Islands",2022,13317,0,0,6336,0,0,FALSE,NA,"Enhanced",TRUE
"2022 Q1","Costa Rica",2022,51363275,44965396,50354731,94885072,87257249,94405923,TRUE,"UK-Central America Association Agreement",NA,FALSE
"2022 Q1","Cuba",2022,2878970,0,0,469625,0,0,FALSE,NA,NA,FALSE
"2022 Q1","Côte d’Ivoire",2022,85009415,25835305,25873248,45618029,14398753,14419533,TRUE,"UK-Cote d'Ivoire Stepping Stone EPA",NA,FALSE
"2022 Q1","Djibouti",2022,296772,0,0,157070,0,0,FALSE,NA,"Comprehensive",TRUE
"2022 Q1","Dominica",2022,87201,7132,9794,84826,7363,7584,TRUE,"CARIFORUM-UK Economic Partnership Agreement",NA,FALSE
"2022 Q1","Dominican Republic",2022,17114641,15477917,16233029,21431902,20624433,20982408,TRUE,"CARIFORUM-UK Economic Partnership Agreement",NA,FALSE
"2022 Q1","Ecuador",2022,48091410,43442269,47701521,29865484,28804037,29806350,TRUE,"UK-Andean Countries Trade Agreement",NA,FALSE
"2022 Q1","Egypt",2022,59907859,51675126,54798310,59824613,51634867,52972859,TRUE,"UK-Egypt Association Agreement",NA,FALSE
"2022 Q1","El Salvador",2022,604122,16391,16391,174601,80000,80000,TRUE,"UK-Central America Association Agreement",NA,FALSE
"2022 Q1","Eritrea",2022,59906,0,0,53569,0,0,FALSE,NA,"Comprehensive",TRUE
"2022 Q1","Eswatini",2022,2737362,2734014,2734014,5209992,5208343,5208343,TRUE,"SACUM-UK Economic Partnership Agreement",NA,FALSE
"2022 Q1","Ethiopia",2022,8589782,2879408,5346589,2663679,837966,1233709,FALSE,NA,"Comprehensive",TRUE
"2022 Q1","European Union",2022,8805343032,7501484688,7694748736,5564392784,4277207753,4355358002,TRUE,"UK-EU Trade and Cooperation Agreement",NA,FALSE
"2022 Q1","Falkland Islands",2022,91335,73748,91335,25354,22132,25354,FALSE,NA,NA,FALSE
"2022 Q1","Faroe Islands",2022,80973864,71760582,79318898,17860322,11472644,16499326,TRUE,"UK-Faroe Islands Free Trade Agreement",NA,FALSE
"2022 Q1","Fiji",2022,927862,0,6560,2336649,0,672,TRUE,"UK-Pacific Economic Partnership Agreement",NA,FALSE
"2022 Q1","Gabon",2022,7118,0,0,10500,0,0,FALSE,NA,NA,FALSE
"2022 Q1","Gambia",2022,615325,611408,615325,234433,233513,234433,FALSE,NA,"Comprehensive",TRUE
